year,series_type,series_name,series_href
2022,International,"Nepal tour of Kenya, 2022",https://www.cricbuzz.com/cricket-series/4560/nepal-tour-of-kenya-2022/matches
2022,International,"Asia Cup Qualifier, 2022",https://www.cricbuzz.com/cricket-series/4506/asia-cup-qualifier-2022/matches
2022,International,"India tour of Zimbabwe, 2022",https://www.cricbuzz.com/cricket-series/4436/india-tour-of-zimbabwe-2022/matches
2022,International,"Pakistan tour of Netherlands, 2022",https://www.cricbuzz.com/cricket-series/2913/pakistan-tour-of-netherlands-2022/matches
2022,International,"Bahrain v Kuwait in Oman T20I Series, 2022",https://www.cricbuzz.com/cricket-series/4553/bahrain-v-kuwait-in-oman-t20i-series-2022/matches
2022,International,"New Zealand tour of West Indies, 2022",https://www.cricbuzz.com/cricket-series/4268/new-zealand-tour-of-west-indies-2022/matches
2022,International,"Afghanistan tour of Ireland, 2022",https://www.cricbuzz.com/cricket-series/4079/afghanistan-tour-of-ireland-2022/matches
2022,International,"New Zealand tour of Netherlands, 2022",https://www.cricbuzz.com/cricket-series/4107/new-zealand-tour-of-netherlands-2022/matches
2022,International,"South Africa v Ireland in England, 2022",https://www.cricbuzz.com/cricket-series/4051/south-africa-v-ireland-in-england-2022/matches
2022,International,"Bangladesh tour of Zimbabwe, 2022",https://www.cricbuzz.com/cricket-series/4427/bangladesh-tour-of-zimbabwe-2022/matches
2022,International,"Mozambique tour of Eswatini, 2022",https://www.cricbuzz.com/cricket-series/8154/mozambique-tour-of-eswatini-2022/matches
2022,International,"New Zealand tour of Scotland, 2022",https://www.cricbuzz.com/cricket-series/4091/new-zealand-tour-of-scotland-2022/matches
2022,International,ICC Mens T20 World Cup Europe Qualifier Group B 2022,https://www.cricbuzz.com/cricket-series/4329/icc-mens-t20-world-cup-europe-qualifier-group-b-2022/matches
2022,International,"India tour of West Indies, 2022",https://www.cricbuzz.com/cricket-series/4261/india-tour-of-west-indies-2022/matches
2022,International,ICC Mens T20 World Cup Europe Qualifier Group A 2022,https://www.cricbuzz.com/cricket-series/4324/icc-mens-t20-world-cup-europe-qualifier-group-a-2022/matches
2022,International,"South Africa tour of England, 2022",https://www.cricbuzz.com/cricket-series/3646/south-africa-tour-of-england-2022/matches
2022,International,"Pakistan tour of Sri Lanka, 2022",https://www.cricbuzz.com/cricket-series/4315/pakistan-tour-of-sri-lanka-2022/matches
2022,International,ICC Mens T20 World Cup Qualifier B 2022,https://www.cricbuzz.com/cricket-series/4364/icc-mens-t20-world-cup-qualifier-b-2022/matches
2022,International,"New Zealand tour of Ireland, 2022",https://www.cricbuzz.com/cricket-series/4046/new-zealand-tour-of-ireland-2022/matches
2022,International,Central Europe Cup 2022,https://www.cricbuzz.com/cricket-series/4359/central-europe-cup-2022/matches
2022,International,"Bulgaria tour of Serbia, 2022",https://www.cricbuzz.com/cricket-series/4434/bulgaria-tour-of-serbia-2022/matches
2022,International,Malaysia Quadrangular Series 2022,https://www.cricbuzz.com/cricket-series/4378/malaysia-quadrangular-series-2022/matches
2022,International,"Papua New Guinea tour of Singapore, 2022",https://www.cricbuzz.com/cricket-series/4366/papua-new-guinea-tour-of-singapore-2022/matches
2022,International,ICC Mens T20 World Cup Europe Qualifier Group C 2022,https://www.cricbuzz.com/cricket-series/4317/icc-mens-t20-world-cup-europe-qualifier-group-c-2022/matches
2022,International,"Malaysia tour of Singapore, 2022",https://www.cricbuzz.com/cricket-series/4336/malaysia-tour-of-singapore-2022/matches
2022,International,"India tour of Ireland, 2022",https://www.cricbuzz.com/cricket-series/4041/india-tour-of-ireland-2022/matches
2022,International,"Serbia tour of Bulgaria, 2022",https://www.cricbuzz.com/cricket-series/4310/serbia-tour-of-bulgaria-2022/matches
2022,International,"India tour of England, 2022",https://www.cricbuzz.com/cricket-series/3636/india-tour-of-england-2022/matches
2022,International,"Estonia tour of Finland, 2022",https://www.cricbuzz.com/cricket-series/4303/estonia-tour-of-finland-2022/matches
2022,International,"England tour of Netherlands, 2022",https://www.cricbuzz.com/cricket-series/3722/england-tour-of-netherlands-2022/matches
2022,International,"Bangladesh tour of West Indies, 2022",https://www.cricbuzz.com/cricket-series/4212/bangladesh-tour-of-west-indies-2022/matches
2022,International,"Malta tour of Belgium, 2022",https://www.cricbuzz.com/cricket-series/4282/malta-tour-of-belgium-2022/matches
2022,International,"Switzerland tour of Luxembourg, 2022",https://www.cricbuzz.com/cricket-series/4289/switzerland-tour-of-luxembourg-2022/matches
2022,International,Germany T20I Tri-Series 2022,https://www.cricbuzz.com/cricket-series/4275/germany-t20i-tri-series-2022/matches
2022,International,"South Africa tour of India, 2022",https://www.cricbuzz.com/cricket-series/3697/south-africa-tour-of-india-2022/matches
2022,International,"Australia tour of Sri Lanka, 2022",https://www.cricbuzz.com/cricket-series/4086/australia-tour-of-sri-lanka-2022/matches
2022,International,"Afghanistan tour of Zimbabwe, 2022",https://www.cricbuzz.com/cricket-series/4156/afghanistan-tour-of-zimbabwe-2022/matches
2022,International,"Hungary tour of Austria, 2022",https://www.cricbuzz.com/cricket-series/4226/hungary-tour-of-austria-2022/matches
2022,International,"West Indies tour of Netherlands, 2022",https://www.cricbuzz.com/cricket-series/3806/west-indies-tour-of-netherlands-2022/matches
2022,International,"New Zealand tour of England, 2022",https://www.cricbuzz.com/cricket-series/3641/new-zealand-tour-of-england-2022/matches
2022,International,"Jersey tour of Guernsey, 2022",https://www.cricbuzz.com/cricket-series/4203/jersey-tour-of-guernsey-2022/matches
2022,International,"Namibia tour of Zimbabwe, 2022",https://www.cricbuzz.com/cricket-series/4149/namibia-tour-of-zimbabwe-2022/matches
